#NSGA2
popsize 50
maxGen 200
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	0.0298985
firstFrontCount	22
frontCount	5
avgEvalTime	1.115e-05
#end
Var1	Var2	Obj1	Obj2	
3.54983	3.25149	92.694	5.16028	
4.16642	3.69503	124.049	2.3978	
2.83833	2.21974	51.9335	12.4026	
3.78493	4.4492	136.484	1.77977	



#Generation 12 / 200
currentGen	12
evaluateCount	600
totalTime	1.35606
firstFrontCount	50
frontCount	1
avgEvalTime	1.5952e-05
#end
Var1	Var2	Obj1	Obj2	
5	4.5613	183.222	0.19246	
0	0	0	50	
0	0	0	50	
1.12584	0.848286	7.9484	32.2459	
1.23714	1.06728	10.6784	29.6254	
1.97959	1.55115	25.2993	21.0175	
3.70767	3.57239	106.035	3.70818	
4.56504	4.29987	157.314	0.679379	
3.66444	4.01519	118.2	2.75356	
2.31101	1.55447	31.0286	19.1023	
3.30035	3.01157	79.8476	6.84264	
4.73215	4.60913	174.549	0.224525	
1.36973	1.56877	17.3488	24.9522	
3.03517	3.51051	86.1436	6.07915	
4.58812	3.98324	147.668	1.20345	
1.64896	1.05584	15.3354	26.7859	
2.88944	3.2037	74.4504	7.68113	
1.33267	1.19175	12.7851	27.9521	
2.40601	1.80014	36.1176	16.9679	
3.81874	4.25008	130.584	1.95774	
0.600197	0	1.44095	44.3583	
3.93787	3.03234	98.8078	4.99978	
0.0146324	0.233448	0.218848	47.5739	
1.72383	1.45254	20.3257	23.3178	
0.383709	0	0.588931	46.3101	
2.36852	2.57373	48.936	12.8114	
4.16642	3.69503	124.049	2.3978	
2.83833	2.21974	51.9335	12.4026	
3.34147	3.83021	103.344	4.1191	
4.40698	4.06059	143.639	1.23416	
0.27988	0.961494	4.01122	38.5891	
